,,,E,내 마음을 가득채운,F,왕이신 나의 하나님,G,경배하리 주하나님,,,,,,,,,C,예수 사랑해요,,,,,,,,,G,바다같은 주의사랑,,,G,주님 한분만으로,,,,,,,,,,
,,,E,이 날은 주가 지으신 날,F,주를 찬양하며,G,경배하리 내 온맘다해,,,,,,,,,C,약한 나로 강하게,,,,,,,,,G,왕되신 주께 감사하세,,,G,나 기뻐하리,,,,,,,,,,
,,,E,우리함께 기뻐해,G,예수 메시야,G,주를 높이기 원합니다,,,,,,,,,D,할렐루야 살아계신 주,,,,,,,,,G,주님 한분만으로,,,G,찬양 중에 눈을 들어 주를,,,,,,,,,,
,,,E,전심으로 주찬양,G,신실하신 주님,G,지존하신 주님 이름앞에,,,,,,,,,D,오 나의 자비로운 주여,,,,,,,,,G,내가 주인삼은,,,G,모든 상황속에서,,,,,,,,,,
,,,"E,F",여호와를 즐거이 불러,G,내 손을 주께 높이,,,,,,,,,,,D,예수 하나님의 공의,,,,,,,,,G,주 날 구원했으니,,,G,나의 가는 길,,,,,,,,,,
,,,"E,F",나는 주님을 찬양하리라,G,모든 상황 속에서,,,,,,,,,,,D,오직 예수 다른 이름은 없네,,,,,,,,,G,예수보다 더 큰 사랑,,,G,오직 주님만,,,,,,,,,,
,,,"E,F",주예수 기뻐찬양해,G,수많은 무리들 줄지어,,,,,,,,,,,D,주님 손에 다 맡겨드리리,,,,,,,,,,,,,G,주님을 보게 하소서,,,,,,,,,,
,,,"E,F",주의 이름 송축하리,,,,,,,,,,,,,D,모든 이름 위에,,,,,,,,,,,,,G,주님은 신실하고,,,,,,,,,,
,,,F,주 임재 하시는 곳에,,,,,,,,,,,,,D,내 안에 사는 이,,,,,,,,,,,,,,,,,,,,,,,,
,,,F,왕이신 하나님 높임을,,,,,,,,,,,,,D,할렐루야 살아계신 주,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,신실하신 주님,,,,,,,,,,,,,"D,E",예수안에 소망있네,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,주님의 임재 앞에서,,,,,,,,,,,,,E,예수님 그의 희생 기억할 때,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,생명 주께 있네,,,,,,,,,,,,,E,예수 가장 귀한 그이름,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,예수보다 더 큰 사랑,,,,,,,,,,,,,"E,F",주예수 기뻐찬양해,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,거룩하신 전능의 주,,,,,,,,,,,,,F,예수는 나의 힘이요,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,예수 주 승리하심 찬양해,,,,,,,,,,,,,F,약할때 강함되시네,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,찬양 중에 눈을 들어 주를,,,,,,,,,,,,,F,주 예수 기뻐찬양해,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,하늘과 땅 모두 즐거워하라,,,,,,,,,,,,,G,예수 메시야,,,,,,,,,,,,,,,,,,,,,,,,
,,,G,거룩하신 전능의 주,,,,,,,,,,,,,G,주의 이름 높이며,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G,예수보다 더큰 사랑,,,,,,,,,,,,,,,,,,,,,,,,
